,0
0,BS_SH_OUT
1,BS_PENSION_RSRV
2,NET_FIXED_ASSETS_5_YEAR_GROWTH
3,NET_INCOME_TO_COMMON_5_YR_GROWTH
4,CAP_EXPEND_RATIO
5,CF_REIMB_LT_BORROW
6,REINVEST_EARN
7,NORM_NET_INC_TO_NET_INC_FO_COM
8,PRETAX_MARGIN
9,GEO_GROW_NET_SALES
10,BEST_PTP_TO_SALES
11,BS_CUR_ASSET_REPORT
12,EARN_FOR_COMMON
13,DPS_SEQUENTIAL_GROWTH
14,BEST_LTG_EPS
15,BEST_OPP_TO_SALES
16,ALTMAN_Z_SCORE
17,EPS_DILUTED_BEF_ABNRML_SEQ_GRWTH
18,ACTUAL_SALES_PER_EMPL
19,GEO_GROW_DILUTED_EPS_CONT_OPS
20,BS_LT_BORROW
21,BS_NON_PERFORM_ASSET
22,IS_TOT_CASH_PFD_DVD
23,IS_DIL_EPS_CONT_OPS
24,NET_DEBT_%_CAPITAL
25,ACCT_RCV_DAYS
26,BS_CUSTOMER_DEPOSITS
27,TOT_DEBT_TO_COM_EQY
28,BEST_EBIT_TO_SALES
29,DVD_PAYOUT_RATIO
30,TOT_DEBT_TO_EBITDA
31,BEST_EBITDA
32,INCREMENTAL_OPERATING_MARGIN
33,CF_CASH_PAID_FOR_TAX
34,REVENUE_SEQUENTIAL_GROWTH
35,OPER_MARGIN
36,BEST_EPS_EXCLUDES_STOCK_COMP
37,GEO_GROW_BOOK_VAL
38,INC_BEF_XO_ITEMS_TO_NET_SALES
39,BEST_PEG_RATIO
40,BS_INVENTORIES
41,NET_INT_INC_AFT_PROV
42,IS_EARN_BEF_XO_ITEMS_PER_SH
43,IS_COMM_AND_FEE_EARN_INC_REO
44,BEST_DIV_YLD
45,NET_REV
46,BEST_DPS
47,IS_OPERATING_EXPN
48,BEST_ROE
49,BEST_ROA
50,RETURN_ON_ASSET
51,BS_CASH_NEAR_CASH_ITEM
52,BS_AMT_OF_TSY_STOCK
53,BEST_AFFOPS
54,IS_TOT_NET_PREM_EARN
55,INTERBANKING_ASSETS
56,BS_FUTURE_MIN_OPER_LEASE_OBLIG
57,BPS_SEQUENTIAL_GROWTH
58,CASH_FLOW_TO_NET_INC
59,IS_INC_BEF_XO_ITEM
60,BS_LT_INVEST
61,TOTAL_INVESTMENT_INCOME
62,EQY_REC_CONS
63,CF_FREE_CASH_FLOW_FIRM
64,DILUTED_EPS_BEF_XO_ITEMS_GROWTH
65,BEST_PE_RATIO
66,CF_OTHER_NON_CASH_ADJUST
67,BEST_PERIOD_NUM_OF_DAYS
68,LT_DEBT_TO_TOT_EQY
69,INVTRY_FINISHED_GOODS
70,ASSET_TURNOVER
71,IS_DEPR_EXP
72,OPER_INC_TO_INT_EXP
73,EBITDA_TO_INTEREST_EXPN
74,BS_OTHER_DPST
75,TOT_CAP_EXPEND_GROWTH
76,TOT_DEBT_TO_TOT_EQY
77,NON_INT_EXP
78,NET_DEBT_TO_EBITDA
79,IS_TAX_EFF_ON_ABNORMAL_ITEM
80,T12M_DVDS_PAID
81,CF_NET_CHNG_CASH
82,3YR_AVG_NET_MARGIN
83,MINORITY_NONCONTROLLING_INTEREST
84,BS_TOT_ASSET
85,FIXED_ASSETS_SEQUENTIAL_GROWTH
86,BEST_DCPU
87,FREE_CASH_FLOW_EQUITY
88,GEO_GROW_TOT_ASSET
89,OPERATING_ROIC
90,EBITDA_GROWTH
91,T12_CFF
92,EARN_FOR_COM_GROWTH
93,RETURN_ON_CAP
94,TOT_BUY_REC
95,ACCOUNTS_PAYABLE_SEQ_GROWTH
96,TCE_RATIO
97,EFF_TAX_RATE
98,ST_DEBT_SEQUENTIAL_GROWTH
99,BEST_CURRENT_PROFIT
100,INTEREST_INCOME
101,CF_FREE_CASH_FLOW
102,IS_EPS
103,INVENTORY_SEQUENTIAL_GROWTH
104,BEST_EV_TO_BEST_EBIT
105,TOTAL_DEBT_1_YEAR_GROWTH
106,WORKING_CAPITAL_SEQ_GROWTH
107,COM_EQY_TO_TOT_ASSET
108,CF_ACT_CASH_PAID_FOR_INT_DEBT
109,NON_CUR_LIAB
110,INVENT_DAYS
111,EPS_GROWTH
112,BS_SH_CAP_AND_APIC
113,IS_SPECIAL_EPS
114,NET_FIXED_ASSETS_1_YEAR_GROWTH
115,BS_ACCT_NOTE_RCV
116,TOTAL_EQUITY_1_YEAR_GROWTH
117,OPERATING_INCOME_SEQ_GROWTH
118,CF_OTHER_INV_ACT
119,MODIFIED_WORKING_CPTL_5YR_GRWTH
120,MIN_NONCONTROL_INTEREST_CREDITS
121,BS_LOAN_MTG
122,ACCOUNTS_PAYABLE_5_YEAR_GROWTH
123,ACCOUNTS_RECEIVABLE_SEQ_GROWTH
124,FREE_CASH_FLOW_SEQUENTIAL_GROWTH
125,IS_TRADING_ACCT_PROF
126,NET_CHANGE_IN_CASH_1_YEAR_GROWTH
127,BEST_PX_SALES_RATIO
128,LT_DEBT_TO_TOT_ASSET
129,CASH_FLOW_TO_TOT_LIAB
130,NET_INT_MARGIN
131,TRAIL_12M_FREE_CASH_FLOW
132,TAX_BURDEN
133,NORMALIZED_INCOME
134,BEST_NET_INCOME
135,TOTAL_EQUITY
136,EBITDA_MARGIN_3YR_AVG
137,BEST_PE_RATIO_MARKET
138,CF_INCR_ST_BORROW
139,PRETAX_PRE-PROVISION_PROFIT
140,TRAIL_12M_OPER_MARGIN
141,FREE_CASH_FLOW_YIELD
142,WORK_CAP_GROWTH
143,T12_OTHER_CFF
144,CF_DEPR_AMORT
145,BS_CONS_LOAN
146,EBITDA_MARGIN
147,BEST_CURRENT_EV_BEST_SALES
148,BENEFIT_RATIO_LIFE
149,PROF_MARGIN
150,RETURN_ON_INV_CAPITAL
151,LINE_OF_CREDIT_UTILIZED_AMOUNT
152,IS_BASIC_EPS_CONT_OPS
153,CF_CASH_FROM_FNC_ACT
154,PX_TO_BOOK_RATIO
155,BEST_PRICE_FFO_RATIO
156,BEST_CALCULATED_FCF
157,SALES_GROWTH
158,IS_OPER_INC
159,CF_CHANGE_IN_LOANS
160,TOTAL_EQUITY_SEQUENTIAL_GROWTH
161,BEST_SALES
162,BEST_CPS
163,BS_RE_LOAN
164,EBITDA_SEQUENTIAL_GROWTH
165,CF_INCR_DECR_DPST
166,BS_TOT_NON_CUR_ASSET
167,NUM_OF_EMPLOYEES
168,5Y_GEO_GROWTH_DILUTED_EPS
169,IS_OTHER_OPER_INC_LOSSES
170,EFF_RATIO
171,BEST_EST_LAST_UPDATE
172,NORMALIZED_ROE
173,BEST_EPS_POS_CHG
174,CF_INCR_CAP_STOCK
175,BS_LT_INVEST_OTHER
176,ACCOUNTS_RECEIVABLE_5_YR_GROWTH
177,CF_DECR_CAP_STOCK
178,NET_INCOME
179,SHORT_AND_LONG_TERM_DEBT
180,BS_GOODWILL
181,IS_ACT_LOAN_LOSS_NET
182,PE_RATIO
183,BEST_FFOPS
184,BEST_AMORTIZATION
185,TOTAL_DEBT_SEQUENTIAL_GROWTH
186,TCE_TO_RWA
187,XO_GL_NET_OF_TAX
188,BEST_CURRENT_EV_BEST_EBIT
