,0
0,NPK SJ Equity
1,EOH SJ Equity
2,CAPOIL NL Equity
3,DTS MC Equity
4,KNOC KN Equity
5,FM CT Equity
6,HPB SJ Equity
7,BAT ZL Equity
8,GSC SJ Equity
9,ALY SJ Equity
10,TRE SJ Equity
11,ABCTRANS NL Equity
12,TRA ZH Equity
13,BRDR ZH Equity
14,NCMP EC Equity
15,CFI ZH Equity
16,AFM MC Equity
17,AFRIBANK NL Equity
18,TJARI TU Equity
19,CCHZ ZL Equity
20,PRESCO NL Equity
21,IAM MC Equity
22,IBL MP Equity
23,SCOA NL Equity
24,MTR SJ Equity
25,BFN SJ Equity
26,UTC NL Equity
27,TMT SJ Equity
28,KAR SJ Equity
29,FPT SJ Equity
30,AQU SJ Equity
31,ALBARKAI NL Equity
32,MTX SJ Equity
33,CHP SJ Equity
34,SOT SJ Equity
35,BOE SJ Equity
36,NEIMETH NL Equity
37,RDCP BG Equity
38,RAD SJ Equity
39,DAE SJ Equity
40,HAL SJ Equity
41,NCGC EC Equity
42,CNL SJ Equity
43,CMCH KN Equity
44,MDC SJ Equity
45,ORY NW Equity
46,MTI NL Equity
47,EHDR EC Equity
48,VOG SJ Equity
49,MCB MP Equity
50,GUINNESS NL Equity
51,JOSBREW NL Equity
52,KUR KN Equity
53,CCG SJ Equity
54,INTF ZH Equity
55,OXB SJ Equity
56,DANGCEM NL Equity
57,ZMSG ZL Equity
58,GMCI EC Equity
59,UNIC NL Equity
60,UCAP NL Equity
61,INVESTRU ZL Equity
62,ART SJ Equity
63,FRT MC Equity
64,OCT SJ Equity
65,OASISINS NL Equity
66,TSH SJ Equity
67,ETN SJ Equity
68,CLN NW Equity
69,IPL SJ Equity
70,ABG TZ Equity
71,RVPL KN Equity
72,ALN SJ Equity
73,MKL SJ Equity
74,SLA NW Equity
75,ELD SJ Equity
76,AVU SJ Equity
77,ARBICO NL Equity
78,FTNCOCOA NL Equity
79,LOT SJ Equity
80,VTL SJ Equity
81,NCS SJ Equity
82,TFG SJ Equity
83,FSG BG Equity
84,KAIR TU Equity
85,SAC SJ Equity
86,TSF MC Equity
87,BTG SJ Equity
88,FIDELITY NL Equity
89,NBL SJ Equity
90,MBT SJ Equity
91,NTFD ZH Equity
92,ALC SJ Equity
93,SDH SJ Equity
94,COTT ZH Equity
95,DJAFK Index
96,TJL TU Equity
97,SRB SJ Equity
98,BCX SJ Equity
99,UBN NL Equity
100,STERLNBA NL Equity
101,TBX SJ Equity
102,IMG CN Equity
103,AB TU Equity
104,OML ZH Equity
105,FAHR KN Equity
106,EDGR ZH Equity
107,NEM NL Equity
108,TANTALIZ NL Equity
109,GOLDINSU NL Equity
110,ECR SJ Equity
111,FST NW Equity
112,MDA MP Equity
113,TAHO ZH Equity
114,GAZ MC Equity
115,OKZ ZH Equity
116,RTN SJ Equity
117,FGL SJ Equity
118,NBKL KN Equity
119,RPF SJ Equity
120,NDS SJ Equity
121,COR SJ Equity
122,AFR LN Equity
123,KAPC KN Equity
124,ZIMPLOW ZH Equity
125,UNGL KN Equity
126,NPFMCRFB NL Equity
127,INM SJ Equity
128,NIWICABL NL Equity
129,CCAP EC Equity
130,WEZ SJ Equity
131,ALKIM TU Equity
132,ICC SJ Equity
133,LBH SJ Equity
134,FOR SJ Equity
135,ASOSAVIN NL Equity
136,FDS SJ Equity
137,WAC SJ Equity
138,DIAMONDB NL Equity
139,SNFC EC Equity
140,PMM SJ Equity
141,AIICO NL Equity
142,NTC SJ Equity
143,MEAL KN Equity
144,SGL SJ Equity
145,RSG AU Equity
146,AGR SJ Equity
147,ANA SJ Equity
148,ETEL EY Equity
149,CPA SJ Equity
150,SPO SJ Equity
151,NWL SJ Equity
152,ACR SJ Equity
153,VOD SJ Equity
154,FNBB BG Equity
155,TOY SJ Equity
156,OLG SJ Equity
157,SAME KN Equity
158,NEJ MC Equity
159,SACL ZH Equity
160,CMP SJ Equity
161,TRUW ZH Equity
162,ENGN BG Equity
163,JCG SJ Equity
164,B2G NW Equity
165,ABL SJ Equity
166,SYR AU Equity
167,GPN SJ Equity
168,KEH SJ Equity
169,BOAB BC Equity
170,EIUD EC Equity
171,NPKZ ZH Equity
172,FORTISMF NL Equity
173,ORAS EC Equity
174,DTC SJ Equity
175,PAINTCOM NL Equity
176,MOR MP Equity
177,GOLI MP Equity
178,INCAR NL Equity
179,GML MP Equity
180,CTM MC Equity
181,CHE SJ Equity
182,CAPHOTEL NL Equity
183,CIH SJ Equity
184,UHOMREIT NL Equity
185,0991640D SJ Equity
186,INP SJ Equity
187,HONYFLOU NL Equity
188,SBM MC Equity
189,EGDL KN Equity
190,ARTES TU Equity
191,NMB TZ Equity
192,PRM SJ Equity
193,FUS SJ Equity
194,AGLEVENT NL Equity
195,NIN SJ Equity
196,MAYBAKER NL Equity
197,UTK KN Equity
198,MAG TU Equity
199,RES SJ Equity
200,SIB SJ Equity
201,CML BG Equity
202,MANDRID NL Equity
203,PHM SJ Equity
204,SNT SJ Equity
205,MEI MP Equity
206,BCI28 MC Equity
207,SQE SJ Equity
208,LINKASSU NL Equity
209,MOZ SJ Equity
210,CENTUM KN Equity
211,MTO SJ Equity
212,KNG SJ Equity
213,WAGLASS NL Equity
214,FO NL Equity
215,SOL SJ Equity
216,MRSOIL NL Equity
217,KTL SJ Equity
218,SCD SJ Equity
219,ONTBF BC Equity
220,IAINSURE NL Equity
221,PTR SJ Equity
222,PELH ZH Equity
223,PGD SJ Equity
224,CAS SJ Equity
225,VLC SJ Equity
226,RIN SJ Equity
227,GOLDBREW NL Equity
228,RTG ZH Equity
229,AFPRINT NL Equity
230,ZAIN KK Equity
231,ADL SJ Equity
232,SHELL MP Equity
233,WPH SJ Equity
234,MNP TU Equity
235,MMH SJ Equity
236,MZG SJ Equity
237,CRGN KN Equity
238,CFM LN Equity
239,DIV SJ Equity
240,MPRC EC Equity
241,QPG SJ Equity
242,AFROIL NL Equity
243,CET SJ Equity
244,DLM2 MC Equity
245,CRN SJ Equity
246,EAPC KN Equity
247,CHEM ZH Equity
248,JET MC Equity
249,ESRS EC Equity
250,ESR SJ Equity
251,AFS NW Equity
252,LHM MC Equity
253,BARC ZH Equity
254,BRN SJ Equity
255,NIGROPES NL Equity
256,MNG21 MC Equity
257,TRF SJ Equity
258,FRE SJ Equity
259,PZC LN Equity
260,MLN SJ Equity
261,MMG SJ Equity
262,1023Q SJ Equity
263,TMGH EY Equity
264,TDL SJ Equity
265,NHM SJ Equity
266,TLW LN Equity
267,BOCGAS NL Equity
268,STLN ZH Equity
269,PAIL KN Equity
270,MTE SJ Equity
271,SCBL KN Equity
272,AFRINSUR NL Equity
273,PRIMETIM BG Equity
274,GLT SJ Equity
275,PAC SJ Equity
276,MTECH NL Equity
277,ESL SJ Equity
278,ALM MC Equity
279,JBERGER NL Equity
280,CAP SJ Equity
281,SMI MC Equity
282,INTERLIN NL Equity
283,TWP SJ Equity
284,PMN SJ Equity
285,UNN SJ Equity
286,DUK SJ Equity
287,ACCESS KN Equity
288,MPT SJ Equity
289,FGM SJ Equity
290,CBIL KN Equity
291,PRN SJ Equity
292,IM KN Equity
293,HIPO ZH Equity
294,NAMPAK NL Equity
295,DOMT EC Equity
296,FVT SJ Equity
297,NCX SJ Equity
298,MULTITRE NL Equity
299,ARML KN Equity
300,TIW SJ Equity
301,INS SJ Equity
