ODA/PALLFNF_INDEX,All Commodity Price Index
ODA/PNFUEL_INDEX,Non-Fuel Price Index
ODA/PFOOD_INDEX,Food Price Index
ODA/PRAWM_INDEX,Agricultural Raw Materials Price Index
ODA/PMETA_INDEX,Metals Price Index
ODA/POILAPSP_INDEX,Blended Crude Oil Price
ODA/PBANSOP_USD,Bananas Price
ODA/PFANDB_INDEX,Food and Beverage Price Index
ODA/PBEEF_USD,Beef Price
ODA/PBEVE_INDEX,Beverage Price Index
ODA/PINDU_INDEX,Industrial Inputs Price Index
ODA/PCOCO_USD,Cocoa beans Price
ODA/PCOFFROB_USD,Robusta Coffee Price
ODA/PNRG_INDEX,Fuel (Energy) Price Index
ODA/PCOPP_USD,Copper Price
ODA/PALUM_USD,Aluminum Price
ODA/PCOTTIND_USD,Cotton Price
ODA/PBARL_USD,Barley Price
ODA/PGNUTS_USD,Groundnuts (Peanuts) Price
ODA/PCOALAU_USD,Coal Price
ODA/PLAMB_USD,Lamb Price
ODA/PCOFFOTM_USD,Arabica Coffee Price
ODA/PLEAD_USD,Lead Price
ODA/PROIL_USD,Rapeseed Oil Price
ODA/PLOGSK_USD,Hard Logs Price
ODA/PMAIZMT_USD,Maize (Corn) Price
ODA/PFISH_USD,Fishmeal Price
ODA/POILAPSP_USD,Blended Crude Oil Price
ODA/PHIDE_USD,Hides Price
ODA/PIORECR_USD,Iron Ore Price
ODA/POILDUB_USD,Dubai Crude Oil Price
ODA/POLVOIL_USD,Olive Oil Price
ODA/PLOGORE_USD,Soft Logs Price
ODA/PPORK_USD,Lean Hogs Price
ODA/PNICK_USD,Nickel Price
ODA/PRICENPQ_USD,Rice Price
ODA/POILBRE_USD,Brent Crude Oil Price
ODA/PSALM_USD,Fish (Salmon) Price
ODA/PSAWMAL_USD,Hard Sawnwood Price
ODA/POILWTI_USD,WTI Crude Oil Price
ODA/PSHRI_USD,Shrimp Price
ODA/PORANG_USD,Oranges Price
ODA/PPOIL_USD,Palm Oil Price
ODA/PSOYB_USD,Soybeans Price
ODA/PPOULT_USD,Poultry Price
ODA/PRUBB_USD,Rubber Price
ODA/PSUNO_USD,Sunflower Oil Price
ODA/PTIN_USD,Tin Price
ODA/PSAWORE_USD,Soft Sawnwood Price
ODA/PURAN_USD,Uranium Price
ODA/PSMEA_USD,Soybean Meal Price
ODA/PSOIL_USD,Soybean Oil Price
ODA/PWOOLF_USD,Fine Wool Price
ODA/PSUGAISA_USD,US Futures Sugar Price
ODA/PZINC_USD,Zinc Price
ODA/PSUGAUSA_USD,US Imports Sugar Price
ODA/PTEA_USD,Tea Price
ODA/PWHEAMT_USD,Wheat Price
ODA/PWOOLC_USD,Coarse Wool Price
ODA/PNGASEU_USD,Germany  Natural Gas Price
ODA/PNGASUS_USD,Henry Hub Natural Gas Price
ODA/PNGASJP_USD,Japan Natural Gas Price
ODA/PSUGAEEC_USD,Europe Sugar Price
ODA/AFG_NGDP_R,"Afghanistan GDP at Constant Prices, LCU Billions"
ODA/AFG_NGDPPC,"Afghanistan GDP per Capita at Current Prices, LCU"
ODA/AFG_NGDP_RPCH,"Afghanistan GDP at Constant Prices, % change"
ODA/AFG_NGDP,"Afghanistan GDP at Current Prices, LCU Billions"
ODA/AFG_NID_NGDP,"Afghanistan Total Investment, % of GDP"
ODA/AFG_NGDPD,"Afghanistan GDP at Current Prices, USD Billions"
ODA/AFG_PCPI,"Afghanistan Inflation Index, Average Consumer Prices"
ODA/AFG_NGDP_D,Afghanistan GDP Deflator
ODA/AFG_PCPIPCH,"Afghanistan Inflation % change, Average Consumer Prices"
ODA/AFG_NGDPRPC,"Afghanistan GDP per Capita at Constant Prices, LCU"
ODA/AFG_PCPIEPCH,"Afghanistan Inflation % change, End of Period Consumer Prices"
ODA/AFG_TM_RPCH,"Afghanistan Imports of Goods and services, % change"
ODA/AFG_NGDPDPC,"Afghanistan GDP per Capita at Current Prices, USD"
ODA/AFG_TMG_RPCH,"Afghanistan Imports of Goods, % change"
ODA/AFG_PPPGDP,"Afghanistan Country GDP based on PPP Valuation, USD Billions"
ODA/AFG_PPPPC,"Afghanistan Per Capita GDP based on PPP Valuation, USD"
ODA/AFG_PPPSH,"Afghanistan Share of World GDP based on PPP, %"
ODA/AFG_PPPEX,"Afghanistan Implied PPP Conversion Rate, LCU per USD"
ODA/AFG_NGSD_NGDP,"Afghanistan Gross National Savings, % of GDP"
ODA/AFG_GGR,"Afghanistan General Government Revenue, USD Billions"
ODA/AFG_GGR_NGDP,"Afghanistan General Government Revenue, % of GDP"
ODA/AFG_GGX,"Afghanistan General Government Total Expenditure, USD Billions"
ODA/AFG_PCPIE,"Afghanistan Inflation Index, End of Period Consumer Prices"
ODA/AFG_GGXCNL,"Afghanistan General Government Net Lending/Borrowing, USD Billions"
ODA/AFG_GGXCNL_NGDP,"Afghanistan General Government Net Lending/Borrowing, % of GDP"
ODA/AFG_GGXONLB,"Afghanistan General Government Primary Net Lending/Borrowing, USD Billions"
ODA/AFG_TX_RPCH,"Afghanistan Exports of Goods and services, % change"
ODA/AFG_TXG_RPCH,"Afghanistan Exports of Goods, % change"
ODA/AFG_LP,"Afghanistan Population, Millions"
ODA/AFG_GGX_NGDP,"Afghanistan General Government Total Expenditure, % of GDP"
ODA/AFG_GGXONLB_NGDP,"Afghanistan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/AFG_NGDP_FY,"Afghanistan GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/AFG_BCA,"Afghanistan Current Account Balance, USD Billions"
ODA/ALB_NGDPDPC,"Albania GDP per Capita at Current Prices, USD"
ODA/AFG_BCA_NGDPD,"Afghanistan Current Account Balance, % of GDP"
ODA/ALB_PPPGDP,"Albania Country GDP based on PPP Valuation, USD Billions"
ODA/ALB_PPPPC,"Albania Per Capita GDP based on PPP Valuation, USD"
ODA/ALB_NGDP_R,"Albania GDP at Constant Prices, LCU Billions"
ODA/ALB_PPPSH,"Albania Share of World GDP based on PPP, %"
ODA/ALB_NGDP_RPCH,"Albania GDP at Constant Prices, % change"
ODA/ALB_PPPEX,"Albania Implied PPP Conversion Rate, LCU per USD"
ODA/ALB_NGDP,"Albania GDP at Current Prices, LCU Billions"
ODA/ALB_NID_NGDP,"Albania Total Investment, % of GDP"
ODA/ALB_NGDPD,"Albania GDP at Current Prices, USD Billions"
ODA/ALB_NGSD_NGDP,"Albania Gross National Savings, % of GDP"
ODA/ALB_NGDP_D,Albania GDP Deflator
ODA/ALB_NGDPRPC,"Albania GDP per Capita at Constant Prices, LCU"
ODA/ALB_NGDPPC,"Albania GDP per Capita at Current Prices, LCU"
ODA/ALB_PCPIEPCH,"Albania Inflation % change, End of Period Consumer Prices"
ODA/ALB_TM_RPCH,"Albania Imports of Goods and services, % change"
ODA/ALB_TMG_RPCH,"Albania Imports of Goods, % change"
ODA/ALB_TX_RPCH,"Albania Exports of Goods and services, % change"
ODA/ALB_TXG_RPCH,"Albania Exports of Goods, % change"
ODA/ALB_PCPI,"Albania Inflation Index, Average Consumer Prices"
ODA/ALB_PCPIPCH,"Albania Inflation % change, Average Consumer Prices"
