UGID/CPIG_DZA,Consumer Price Index - General - Algeria
UGID/CPIG_HTI,Consumer Price Index - General - Haiti
UGID/CPIG_IDN,Consumer Price Index - General - Indonesia
UGID/CPIG_MMR,Consumer Price Index - General - Myanmar
UGID/CPIG_NIC,Consumer Price Index - General - Nicaragua
UGID/CPIG_THA,Consumer Price Index - General - Thailand
UGID/CPIF_DOM,Consumer Price Index - Food - Dominican Republic
UGID/CPIF_IND,Consumer Price Index - Food - India
UGID/CPIF_MDG,Consumer Price Index - Food - Madagascar
UGID/CPIF_WSM,Consumer Price Index - Food - Samoa
UGID/CPIF_TUN,Consumer Price Index - Food - Tunisia
UGID/CPIG_BRN,Consumer Price Index - General - Brunei Darussalam
UGID/CPIG_ECU,Consumer Price Index - General - Ecuador
UGID/CPIG_IND,Consumer Price Index - General - India
UGID/CPIG_MWI,Consumer Price Index - General - Malawi
UGID/CPIG_NAM,Consumer Price Index - General - Namibia
UGID/CPIG_SWZ,Consumer Price Index - General - Swaziland
UGID/CPIG_VUT,Consumer Price Index - General - Vanuatu
UGID/CPIG_CAF,Consumer Price Index - General - Central African Republic
UGID/CPIG_DOM,Consumer Price Index - General - Dominican Republic
UGID/CPIF_BRN,Consumer Price Index - Food - Brunei Darussalam
UGID/CPIF_ECU,Consumer Price Index - Food - Ecuador
UGID/CPIG_GAB,Consumer Price Index - General - Gabon
UGID/CPIG_ISL,Consumer Price Index - General - Iceland
UGID/CPIF_ISL,Consumer Price Index - Food - Iceland
UGID/CPIF_JOR,Consumer Price Index - Food - Jordan
UGID/CPIF_NAM,Consumer Price Index - Food - Namibia
UGID/CPIG_SYC,Consumer Price Index - General - Seychelles
UGID/CPIF_TUR,Consumer Price Index - Food - Turkey
UGID/CPIF_DZA,Consumer Price Index - Food - Algeria
UGID/CPIF_COG,Consumer Price Index - Food - Congo
UGID/CPIF_ETH,Consumer Price Index - Food - Ethiopia
UGID/CPIF_PAN,Consumer Price Index - Food - Panama
UGID/CPIF_SYC,Consumer Price Index - Food - Seychelles
UGID/CPIF_ZWE,Consumer Price Index - Food - Zimbabwe
UGID/CPIG_BGD,Consumer Price Index - General - Bangladesh
UGID/CPIG_MDG,Consumer Price Index - General - Madagascar
UGID/CPIG_COG,Consumer Price Index - General - Congo
UGID/CPIG_WSM,Consumer Price Index - General - Samoa
UGID/CPIG_ETH,Consumer Price Index - General - Ethiopia
UGID/CPIG_JOR,Consumer Price Index - General - Jordan
UGID/CPIG_TUR,Consumer Price Index - General - Turkey
UGID/CPIG_MOZ,Consumer Price Index - General - Mozambique
