Date Update,ACCOUNTING_STANDARD,CIE_DES,COUNTRY_FULL_NAME,CURRENCY,EXCH_CODE,GICS_INDUSTRY_NAME,GICS_SECTOR_NAME,ICB_SECTOR_NAME,ICB_SUPERSECTOR_NAME,ID_ISIN,ISSUER_INDUSTRY,MARKET_STATUS,NAME,SECURITY_TYP,TICKER
2017-03-25,,"Alexander Forbes Ltd. provides financial and risk products and services. The Company offers risk management, insurance and reinsurance broking, employee benefit consulting and administration, asset management consulting, and multi-manager investment services. Alexander Forbes serves customers in the United Kingdom, Africa, and Europe.",SOUTH AFRICA,ZAr,SJ,Diversified Financial Services,Financials,Financial Services,Financial Services,ZAE000018230,Invest Mgmnt/Advis Serv,ACQU,ALEXANDER FORBES LTD,Private Comp,0861674D
2017-03-25,MA GAAP,"Jet Contractors SA specializes in light facades and transparent architectures. The Company's products include verandas, structural glazing facade, external glazing bead facade, canopies, and removable partitions.",MOROCCO,MAD,MC,Building Products,Industrials,Construction & Materials,Construction & Materials,,Metal-Aluminum,PEND,JET CONTRACTORS,Common Stock,4857939Z
2017-03-25,,"Anchor Group Limited is a financial services holding company. The Company focuses on asset management, and financial education and research services. Anchor Group provides its services to international listed businesses.",SOUTH AFRICA,ZAr,SJ,Capital Markets,Financials,Financial Services,Financial Services,ZAE000193389,Invest Mgmnt/Advis Serv,ACTV,ANCHOR GROUP LTD,Common Stock,ACG
2017-03-25,,Adbee Rf Ltd was established as a special purpose Vehicle. The Company assumes the liabilities of Ad-izinyosi in return for Ad-izinyosi becoming indebted to AdBEE.,SOUTH AFRICA,ZAr,SJ,Pharmaceuticals,Health Care,Pharmaceuticals & Biotechnology,Health Care,ZAE000204897,Special Purpose Entity,ACTV,ADBEE RF LTD,Common Stock,ADE
2017-03-25,,"Advtech Limited is an investment holding company.  The Group provides formal education services, as well as training in the technology, human resource, industrial and manufacturing sectors.",SOUTH AFRICA,ZAr,SJ,Diversified Consumer Services,Consumer Discretionary,General Retailers,Retail,ZAE000031035,Schools,ACTV,ADVTECH LTD,Common Stock,ADH
2017-03-25,,"Alexander Forbes Ltd. provides financial and risk products and services. The Company offers risk management, insurance and reinsurance broking, employee benefit consulting and administration, asset management consulting, and multi-manager investment services. Alexander Forbes serves customers in the United Kingdom, Africa, and Europe.",SOUTH AFRICA,ZAr,SJ,Diversified Financial Services,Financials,Financial Services,Financial Services,ZAE000188942,Invest Mgmnt/Advis Serv,DLST,ALEXANDER FORBES -PREFERENCE,Preference,AFP
2017-03-25,,Afrik Pharmaceuticals PLC manufactures drugs.,NIGERIA,NGN,NL,Pharmaceuticals,Health Care,Pharmaceuticals & Biotechnology,Health Care,NGAFRIK00008,Medical-Drugs,ACTV,AFRIK PHARMACEUTICALS PLC,Common Stock,AFRIK
2017-03-25,,"Alexander Forbes Ltd. provides financial and risk products and services. The Company offers risk management, insurance and reinsurance broking, employee benefit consulting and administration, asset management consulting, and multi-manager investment services. Alexander Forbes serves customers in the United Kingdom, Africa, and Europe.",SOUTH AFRICA,NAD,NW,Diversified Financial Services,Financials,Financial Services,Financial Services,ZAE000018230,Invest Mgmnt/Advis Serv,ACQU,ALEXANDER FORBES LTD,Common Stock,AFS
2017-03-25,,"Anheuser-Busch InBev NV brews beer. The Company manufactures ale, lager, stout, and bitter beer. Anheuser-Busch InBev owns brands that are both nationally and internationally prominent.  The Company has production plants in Europe, the Americas, and Asia.",BELGIUM,ZAr,SJ,Beverages,Consumer Staples,Beverages,Food & Beverage,BE0003793107,Brewery,DLST,ANHEUSER-BUSCH INBEV SA/NV,Common Stock,ANB
2017-03-25,,"Astoria Investments Ltd. is an investment company. The Company invests in equity securities, unlisted or over-the-counter equity securities, other instruments derived from such securities, and direct investment in listed or unlisted businesses.",MAURITIUS,ZAr,SJ,Capital Markets,Financials,Nonequity Investment Instruments,Financial Services,MU0499N00007,Investment Companies,ACTV,ASTORIA INVESTMENTS LTD,Common Stock,ARA
